127.0.0.1 - - [26/Oct/2019:16:55:55 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [26/Oct/2019:16:55:57 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [26/Oct/2019:16:55:57 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:16:55:57 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:16:56:51 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:16:56:51 +0900] "GET /JSP_Study/Control.jsp?action=read_board HTTP/1.1" 200 4996
0:0:0:0:0:0:0:1 - - [26/Oct/2019:16:56:54 +0900] "GET /JSP_Study/Control.jsp?action=read&id=58 HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [26/Oct/2019:16:57:50 +0900] "GET /JSP_Study/Control.jsp?action=read&id=52 HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:06:53 +0900] "GET /JSP_Study/Control.jsp?action=read_board HTTP/1.1" 200 4974
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:06:53 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:06:53 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:07:06 +0900] "GET /JSP_Study/Control.jsp?action=read_board HTTP/1.1" 200 4996
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:07:06 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:07:06 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:07:25 +0900] "GET /JSP_Study/Control.jsp?action=read_board HTTP/1.1" 200 4997
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:07:26 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:07:26 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 304 -
