127.0.0.1 - - [09/Oct/2019:21:01:14 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:16 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:16 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:16 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:27 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:27 +0900] "GET /JSP_Study/Resources/js/bootstrap.js HTTP/1.1" 200 131637
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:27 +0900] "GET /JSP_Study/Resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:01:38 +0900] "GET /JSP_Study/sign_up.jsp HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:02:11 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:02:22 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:03:03 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:03:15 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:03:16 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:03:22 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:06:05 +0900] "GET /JSP_Study/sign_up.jsp HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:06:41 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:06:43 +0900] "GET /JSP_Study/sign_in.jsp HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [09/Oct/2019:21:06:58 +0900] "POST /JSP_Study/Control.jsp HTTP/1.1" 200 968
